query,positive
В каком институте работает Дарьенков Андрей Борисович?,"Должность: Директор (ауд. 1256), Институт электрознергетики (ИНЭЛ), ФИО: Дарьенков Андрей Борисович , Номер телефона: 436-93-79 257-86-71"
Какие требования предъявляются к внешнему виду студентов в учебных корпусах?,"Помни, что в помещениях технического университета запрещается:

- • Хождение в головных уборах. - • Шум, громкие разговоры."
Какой организации является частью профсоюзная организация студентов НГТУ?,"Профсоюзная организация студентов НГТУ

Профсоюзная организация студентов НГТУ является частью Общероссийского Профсоюза образования,

самой многочисленной общественной организации РФ. Наша миссия: представление и защита прав и интересов студентов."
Что нужно показать из паспорта при заселении в общежитие?,"При заселении студентов в общежития студгородка НГТУ необходимо:

- Обратиться к заведующему общежитием: 1. - · Предоставить паспорт и копию паспорта (страницы 2,3,4,5); 3 фотографии размером 3х4; справку о состоянии здоровья (терапевт и результаты флюорографии); копию полиса обязательного медицинского страхования."
Каков уровень подготовки выпускников НГТУ?,"Команда победителей:

Уровень нашей подготовки позволяет выпускникам успешно участвовать во всероссийском Кубке студенческой парусной лиги, на этапах от Санкт-Петербурга до Казани, ежегодно выводя НГТУ в десятку лучших российскихпарусных вузов."
Какой номер телефона у Легчанова Максима Александровича?,"Должность: Директор (ауд. 5206), Институт ядерной энергетики и технической физики им. академика Ф.М. Митенкова (ИЯЭиТФ), ФИО: Легчанов Максим Александрович , Номер телефона: 436-63-53"
Какие виды деятельности подчеркиваются в НГТУ для личностного и профессионального роста?,"- · Стремись к повышению престижа НГТУ своей качественной учебой, активной научной, творческой и общественной деятельностью. - • Цени и уважай каждого за благородное поведение и достойные знания."
"Какую информацию, помимо навыков, можно получить в Школе НГТУ?","Организаторами данной школы являются члены Студенческого совета НГТУ им. Р. Е. Алексеева при содействии представителей других организаций НГТУ. В Школе обучают многим полезнейшим навыкам, например: тактичному и грамотному общению с каждым типом студентов, работе в группе, организации команд, тайм менеджменту, социальной психологии и т.д. Также предоставляется информация о внутреннем распорядке и общественной жизни в НГТУ."
"Сколько лет проводится квест-игра ""Форт Политех Межвуз""?","Российский Союз Молодежи НГТУ

Реализуемые проекты:«Форт Политех Межвуз»

Ежегодная квест-игра, являющаяся продолжением проекта «Форт Политех», где принимают участие команды из нескольких вузов Нижнего Новгорода. Она проводится в районе поселка Рекшино на протяжении 10 лет.Команды из 6 человек проходят более 30 интереснейших этапов, которые проверят тебя и твою команду на выносливость, командный дух, смекалку и скорость принятия решения! После подведения итогов игры, команды собираются у костра, где для них подготовлен ужин."
Какой номер телефона у заместителя директора по учебной работе ИЯЭиТФ?,"Должность: Зам. директора по учебной работе (ауд. 5206), Институт ядерной энергетики и технической физики им. академика Ф.М. Митенкова (ИЯЭиТФ), ФИО: Бородин Сергей Сергеевич , Номер телефона: 436-63-53"
Какой адрес электронной почты у яхтшколы «ПАРУС» НГТУ им. Р.Е. Алексеева?,"Контакты:

Адрес: 603950 ГСП-41, НГТУ им. Р.Е. Алексеева, Нижний Новгород, ул. Минина 24, яхтшкола «ПАРУС» Тел/ факс: 8 (831) 436-73-09 Эл. почта: ksf@nntu.ru"
Какова цель выезда POLYCAMP на природу?,"«Кубок им. С.В. Хватова» ежегодный турнир по мини-футболу, проходящий в самом разгаре весны! «POLYCAMP» выезд на природу с палатками и 2 дня проведенных с удовольствием и пользой для себя под открытым небом!"
Когда заканчивается весенний семестр?,"Между семестрами существуют каникулы. | Семестр   | Семестр                 | Сессия               | Каникулы                                    |
|-----------|-------------------------|----------------------|---------------------------------------------|
| Осенний   | 1 сентября -31 декабря | 9 января - 30 января | 30 декабря - 8 января 1 февраля - 8 февраля |
| Весенний  | 9 февраля - 12 июня     | 13 июня - 30 июня    | 27 июля - 31 августа                        |"
Что такое студенческое конструкторское бюро?,"Студенческие конструкторские бюро ИТС

Студенческое конструкторское бюро (СКБ) - это команда студентов-инженеров, которые решают настоящие прикладные конструкторские задачи. Вместе с командой ты можешь построить спортивный автомобиль, беспилотный летательный аппарат или судно на солнечных батареях."
Как характеризуется профсоюзная организация студентов НГТУ в масштабе РФ?,"Профсоюзная организация студентов НГТУ

Профсоюзная организация студентов НГТУ является частью Общероссийского Профсоюза образования,

самой многочисленной общественной организации РФ. Наша миссия: представление и защита прав и интересов студентов."
Кто является заведующим общежития №6?,"Общежитие №6

Адрес: ул. Казанское шоссе, д. 12, корп.5; Заведующий: Надежда Ивановна Попрыгина (тел. 201-04-03).Общежитие блочного типа. Вопросы воспитательной работы в студгородке НГТУ курирует заместитель начальника по воспитательной работе: Наталья Владимировна Балашова , тел.433-21-66. В общежитии №3 работает кафедра физического воспитания для студентов, у которых занятия проходят на спортивной площадке пл. Лядова (433-44-51) ."
Как участие в студенческом самоуправлении влияет на формирование компетенций у обучающихся?,"Органы студенческого самоуправления

Деятельность студенческого самоуправления в НГТУ регламентируется Федеральным законом «Об образовании в Российской Федерации» № 273 - ФЗ от 29.12.2012 г.» , Положением об органах студенческого самоуправления.

В сферу его деятельности входит подготовка и реализация конкретных коллективно-творческих дел, проектов и других мероприятий во взаимодействии с администрацией вуза, преподавателями и социальными партнёрами в рамках их полномочий и ответственности.

Участие в студенческом самоуправлении способствует формированию компетенций через вовлечение обучающихся в социально значимую деятельность посредством приобретения опыта демократических отношений и навыков организаторской деятельности."
"Как можно стать членом ""Дружины""?","Набор в «Дружину» осуществляется на конкурсной основе. Новичок, прошедший испытательный срок, получает удостоверение и форму отряда."
Какой номер телефона у Хазовой Виктории Ивановны?,"Должность: Зам. директора (ауд. 4203), Институт промышленных технологий машиностроения (ИПТМ), ФИО: Хазова Виктория Ивановна , Номер телефона: 220-15-03"
В каком порядке студенты НГТУ могут перейти с платного обучения на бесплатное?,"Обязанности и права студентов НГТУ: - · Обжаловать приказы и распоряжения администрации университета в установленном законодательством Российской Федерации порядке. - · Переходить с платного договорного обучения на бесплатное обучение в порядке, предусмотренном уставом университета, получать от университета информацию о положении дел в сфере занятости населения и возможностях трудоустройства по специальности."
"Какой результат достигается благодаря разнообразию мероприятий, организуемых отрядами НГТУ?","и Бангладеш. Во время работы летом и в течение подготовительного периода с сентября по июнь представители студенческих отрядов активно участвуют в подготовке и проведении огромного количества разнообразных мероприятий, где каждый студент сможет найти что-то себе по душе."
Какое количество пересдач экзамена предусмотрено для студента с неудовлетворительной оценкой?,"- · Пересдача экзамена, по которому получена неудовлетворительная оценка, производится два раза. Для пересдачи во второй раз назначается аттестационная комиссия."
Какая погода описывается над студенческим лагерем?,"Только представь, что может быть лучше Горьковского моря и голубого неба над головой после череды непростых экзаменов? «Ждановец»

в полном смысле этого слова - студенческий лагерь!"
"Назовите хотя бы три отдела, входящих в РСМ НГТУ.","В основе РСМ НГТУ работа 5 основных отделов:

- • Организационный отдел;
- • Отдел фандрайзинга;
- • Отдел маркетинга;
- • Отдел РСМ Медиа;
- • Отдел МТО."
Какой документ необходим для получения книг в библиотеке?,"Читательский билет это единственный документ, дающий право на получение книг в библиотеке. Читальные залы расположены во втором и шестом учебных корпусах:

- - научной литературы (ауд. 2303);
- - учебной литературы (ауд. 2202);
- - учебной литературы открытого доступа (ауд. 6162);

Абонементы также расположены во втором и шестом корпусах:

- - научной литературы (ауд. 2303);
- - учебной литературы для младших курсов (ауд. 6116);
- - учебной литературы для старших курсов (ауд. 6270);
- - для студентов заочной формы обучения (ауд. 6270);
- - художественной литературы (ауд. 6122)."
Какой адрес указан для обращения по вопросам воинского учёта?,"По вопросам воинского учёта обращаться по адресу: Казанское шоссе, 12, корпус № 6 НГТУ, ауд. №6204,6233, тел. 257-86-68, 257-86-69. Примечание: всем девушкам-первокурсникам, поступившим в институт радиоэлектроники и информационных технологий (ИРИТ) на военно-учётную специальность информатика и вычислительная техника, необходимо прибыть во второй отдел (ауд. 6233) для разъяснения порядка и правил постановки на воинский учёт и получения военного билета в военном комиссариате Советского и Нижегородского районов г. Нижнего Новгорода."
Что такое Межвузовский фестиваль?,"
- • «Лучший староста НГТУ»;
- • «Лучшая группа НГТУ»;
- • «Лучшая газета НГТУ»;
- • «Лучший координатор НГТУ»;
- • «Лучший студенческий совет НГТУ»;
- • Школа студенческого актива;
- • Школа координаторов;
- • Межвузовский фестиваль."
В каком институте работает Мурашова Наталья Александровна?,"Должность: Зам. директора по внеучебной работе (ауд. 3213б), Образовательно-научный институт экономики и управления (ИНЭУ), ФИО: Мурашова Наталья Александровна , Номер телефона: 436-01-55"
Кто является заведующим общежития №5?,"Общежитие №5

Адрес: ул. Казанское шоссе, д. 12б; Заведующий: Ольга Александровна Бородкина (тел. 201-04-11).Общежитие блочного типа. Особенности: культурно-досуговый центр."
В каком году был основан Театр эстрадных миниатюр политехников?,"Театр эстрадных миниатюр политехников

Четыре загадочные буквы в названии «ТЭМПа» за свою долгую историю существования претерпевали множество расшифровок. Основанный в 1964 году как Театр Эстрадных Миниатюр Политехников, в 2021 году ТЭМП берет курс на современный студенческий театр с полноформатными авторскими постановками."
Какой телефон у комиссара штаба студенческих отрядов НГТУ им. Алексеева?,"

Командир штаба студенческих отрядов - Колено Ксения,

тел: 8 (908) 238-32-40

Комиссар штаба студенческих отрядов - Жуков Георгий, тел: 8 (951) 090-92-59

Эл. почта:

shtab.ngtu@gmail.com

ВК:

/shtabngtu

Адрес: Нижний Новгород, ул. Казанское шоссе, 12, корпус 6,"
Какие оценки используются для определения успеваемости студента?,"До начала экзаменационной сессии студенты должны выполнить все задания, предусмотренные учебным планом (контрольные работы, домашние задания, расчетно-графические, лабораторные работы, курсовые работы, курсовые проекты) и сдать все необходимые зачеты. Успеваемость студента определяется следующими оценками: «отлично», «хорошо», «удовлетворительно», «неудовлетворительно», «зачтено», «не зачтено»."
Каков номер телефона проректора по научной работе?,"Должность: Проректор по научной работе,  ФИО: Куркин Андрей Александрович , Номер телефона: 436-23-37"
Чем занимается Интеллектуальный Клуб НГТУ?,"Интеллектуальный Клуб НГТУ занимается организацией таких событий. Мы самостоятельно готовим все материалы для игр, находим интересные вопросы, непростые задачки, чтобы всем участникам было весело и они могли с пользой

проводить время на наших играх."
Какие оценки считаются положительными при сдаче зачетов?,"До начала экзаменационной сессии студенты должны выполнить все задания, предусмотренные учебным планом (контрольные работы, домашние задания, расчетно-графические, лабораторные работы, курсовые работы, курсовые проекты) и сдать все необходимые зачеты. Успеваемость студента определяется следующими оценками: «отлично», «хорошо», «удовлетворительно», «неудовлетворительно», «зачтено», «не зачтено»."
В каком институте работает Сергей Николаевич Митяков?,"Должность: Директор (ауд. 3213а), Образовательно-научный институт экономики и управления (ИНЭУ), ФИО: Митяков Сергей Николаевич , Номер телефона: 436-23-62"
Кто организует работу Школы в НГТУ им. Р. Е. Алексеева?,"Организаторами данной школы являются члены Студенческого совета НГТУ им. Р. Е. Алексеева при содействии представителей других организаций НГТУ. В Школе обучают многим полезнейшим навыкам, например: тактичному и грамотному общению с каждым типом студентов, работе в группе, организации команд, тайм менеджменту, социальной психологии и т.д. Также предоставляется информация о внутреннем распорядке и общественной жизни в НГТУ."
Какие средства обеспечивают обработку информации при электронном обучении?,"Электронное обучение в НГТУ

Предполагает организацию образовательного процесса с применением информации, содержащейся в базах банных и используемой при реализации образовательных программ и информационных технологий, технических средств, обеспечивающих ее обработку, а также информационно-телекоммуникационных сетей, обеспечивающих её передачу и взаимодействиеучастников образовательного процесса.

Информация об электронной информационно-образовательной среде (ЭИОС) размещена на сайте вуза nntu.ru/content/obrazovanie/eios"
Для чего студенческий клуб открывает свои двери для новых студентов?,"Каждый год студенческий клуб открывает свои двери для новых талантливых студентов! Если у тебя есть желание проявить себя, сделать свою жизнь ярче и насыщеннее, приходи к нам."
Как зовут руководителя студии вокала?,"Если ты любишь и хочешь петь, приходи на занятия по вокалу! Руководитель студии - Екатерина Орлова, тел: 8 (920) 259-33-94"
Какие виды мероприятий проводит Центр для студентов?,"В Центре вас ожидают выставки книг, презентации о книгах и писателях, артистах, художниках, поэтах. Центр проводит познавательные часы и викторины, организует экскурсии студентов в музеи и театры Нижнего Новгорода."
Какой номер телефона руководителя музыкального направления?,"Окунись в мир музыки вместе с нами! Руководитель направления - Роман Хмельников, тел: 8 (951) 901-19-22"
Какова должность Кузнецовой Натальи Юрьевны в НГТУ им. Алексеева?,"Должность: Ведущий инженер (ауд. 4210), Институт промышленных технологий машиностроения (ИПТМ), ФИО: Кузнецова Наталья Юрьевна , Номер телефона: 436-80-85"
В каком месяце начинается работа координаторов?,Чем занимаются координаторы? Работа координаторов начинается уже в августе.
Какой размер повышенной социальной стипендии?,"Академическая

Социальная

Повышенная социальная*

«хорошо»

2800 ₽

«хорошо

и отлично»

4200 ₽

«отлично»

5600 ₽

3000 ₽

12.480 ₽

Повышенная социальная стипендия выплачивается студентам 1 и 2 курса, которые получают социальную стипендию и по итогам аттестации имеющим отметки «хорошо» и «отлично» , т.е. получающим еще и академическую стипендию. *"
Как встречи с координатором помогают ребятам?,"Встречи с координатором помогают ребятам получше познакомиться и узнать друг друга, благодаря чему они легко и быстро становятся единым дружным коллективов. Ребята из Совета координаторов, работают на протяжении всего года, помогая юным студентам адаптироваться в учебном процессе и не только."
Для кого проводятся экскурсии в Историко-патриотическом центре?,"Историко-патриотический центр

Историко-патриотический центр (ИПЦ) был создан в апреле 2016 года. В нем проводятся экскурсии для студентов, сотрудников, преподавателей, а также гостей вуза; встречи с ветеранами войны и труда, выпускников разных лет, заседания клубов, секции конференций."
В какие страны отправляются работать студенты НГТУ?,"И это только начало! С годами мы будем покорять все новые рубежи, расширяя карту студенческих отрядов НГТУ до невообразимых масштабов! Уже сейчас ежегодно наши ребята выезжают работать на международные стройки в Китай, Индию, Турцию"
Какие регионы охватывают строительные отряды?,"У строительных отрядов от Челябинской области (г. Озерск, ПО «Маяк») до Республики Беларусь (г. Островец, Белорусская АЭС), у педагогических отрядов - от близлежащих Нижнему Новгороду

до всероссийских детских оздоровительных лагерей на побережье Черного моря. А рейсы отрядов проводников простираются от северных далей Кольского полуострова до жарких краев Абхазии."
Какие требования установлены для соблюдения пропускного режима в университете?,"Обучающиеся в университете обязаны: - · Соблюдать порядок прохождения форм контроля знаний и ликвидации академических задолженностей, установленный в университете. - · При неявке на занятия (в том числе на экзамены и зачеты) по уважительной причине при первой возможности обучающийся ставит в известность директора института, руководителя (уполномоченного работника) иного труктурного подразделения и в первый день явки на учебу представляет данные о причине неявки и документы установленного образца (справки, повестки, письма, телеграммы и т.п.), содержащие сведения оправдательного характера. - · Соблюдать требования положения об организации пропускного режима на объектах университета.
- · Курение в университете запрещается, кроме мест, специально оборудованных для курения и отмеченных соответствующими указателями"
На что не должны жалеть сил и времени студенты-политехники?,"Клятва студента-политехника

Мы, первокурсники Нижегородского государственного технического университета им. Р.Е. Алексеева, вступая в ряды студентов-политехников, торжественно клянёмся:

С достоинством и честью нести высокое звание студента-политехника, не жалея сил и времени на постижение программы обучения и получение глубоких и всесторонних знаний, компетенций по выбранной специальности."
"Как называется ежегодная благотворительная акция, проводимая студентами НГТУ?","«Счастливый ребенок»

Ежегодная благотворительная акция. В рамках этой акции студенты собирают и дарят ребятам из детских домов Нижегородской области различные подарки: игрушки, вещи, книги. В холле 6 учебного корпуса НГТУ традиционно ставится коробка для подарков, и все студенты НГТУ, желающие принять участие в этой акции, совместно собирают подарки детям."
"Как называется квест, в котором могут принять участие первокурсники НГТУ?","Профсоюзная организация студентов НГТУ

Кроме того мы проводим самые крупные и популярные мероприятия НГТУ: «Веревочный курс» главное спортивное событие для первокурсников! Собирай своих друзей и отправляйся на этот захватывающий квест."
Кто такие координаторы в НГТУ?,"Координаторы это:

- · Студенты, которые готовы на кропотливую работу ради светлого будущего наших дорогих первокурсников, второкурсников и политеха в целом;
- • Лучшие помощники, советчики и друзья студентов младших курсов;
- • Ребята, знающие внутренний распорядок НГТУ и организацию учебного процесса;
- · Общительные, дружелюбные, целеустремлённые личности, готовые развиваться, расти и помогать другим в развитии и достижении целей;
- · Те, кто готов на сотрудничество и работу с любыми представителями НГТУ для благополучия студентов;
- · Ребята, которые очень много времени проводят с первокурсниками и вне стен нашего университета.

Важной составляющей работы координатора является общение с куратором, с дирекцией, с преподавателями и конечно же с каждым студентом группы."
Какое мероприятие анонсируется для вокальной студии?,Лови волну вокальной студии! Заяви о себе и попади на сцену Политеха!
Какое главное спортивное событие для первокурсников в НГТУ?,"Профсоюзная организация студентов НГТУ

Кроме того мы проводим самые крупные и популярные мероприятия НГТУ: «Веревочный курс» главное спортивное событие для первокурсников! Собирай своих друзей и отправляйся на этот захватывающий квест."
Как оплачивается проживание в общежитиях студгородка НГТУ для абитуриентов?,Во всех общежитиях студгородка НГТУ предусмотрены места для временного размещения абитуриентов и их родителей на период прохождения вступительных испытаний. Оплата посуточная.
Какой email указан для связи со штабом студенческих отрядов НГТУ им. Алексеева?,"

Командир штаба студенческих отрядов - Колено Ксения,

тел: 8 (908) 238-32-40

Комиссар штаба студенческих отрядов - Жуков Георгий, тел: 8 (951) 090-92-59

Эл. почта:

shtab.ngtu@gmail.com

ВК:

/shtabngtu

Адрес: Нижний Новгород, ул. Казанское шоссе, 12, корпус 6,"
"Нужно ли быть активистом, чтобы чувствовать себя частью Профсоюза?","Ты смело можешь вступить в Профсоюз и развиваться в том направлении, которое привлекло тебя больше всего! Но необязательно быть активистом, чтобы чувствовать себя частью Профсоюза!"
"Как называется мероприятие, о котором идет речь?","самое теплое мероприятие, которое как нельзя кстати проходит

- «Леденец» в холодную зимнюю пору! Настоящее катание на коньках, конкурсы, призы уверены, ты уже ждешь!"
В каком образовательно-научном институте работает Тютнева Валентина Сергеевна?,"Должность: Ведущий инженер авиационного и кораблестроительного направления (ауд. 1358), Образовательно-научный институт транспортных систем (ИТС), ФИО: Тютнева Валентина Сергеевна , Номер телефона: 436-73-09"
Какие еще примеры уважительного поведения студентов упоминаются в правилах НГТУ?,"Воспитанные люди:- · Не жуют жевательную резинку, разговаривая с кем-нибудь, не выплевывают ее на пол, не прилепляют к стулу, столу, стене. - • Перед началом занятий студенты приветствуют преподавателей стоя."
Какие инновационные разработки связаны с именем Ростислава Алексеева?,"Приветствие ректора

Уважаемые первокурсники! Вы сделали правильный выбор, став студентами одного из лучших инженерных вузов России, со сложившимися традициями, мощным образовательным и научным потенциалом Нижегородского государственного технического университета имени нашего выпускника, выдающегося конструктора, создателя первых в мире судов на подводных крыльях и экранопланов Ростислава Евгеньевича Алексеева."
"Как называется подразделение студенческого совета, отвечающее за работу с институтами и филиалами?","Структура студенческого совета:

- • Совет координаторов;
- • Cовет старост;
- • Cовет старшеклассников;
- • Cтуденческий совет студгородка;
- · Оперативный отряд «Дружина» ;
- • Штаб студенческих отрядов;
- · Студенческие советы институтов и филиалов."
"Кто является директором СОК ""Ждановец""?","Ссылка публикуется в соцсетях и администрации СОЛ «Ждановец» (ауд. 1154)

Директор СОК «Ждановец» - Олег Борисович Солдаткин

ауд. 1154, тел. 436-18-70

Наш сайт:

zhdanovec.nntu.ru"
Есть ли у вас своя репетиционная точка?,"Тогда мы ждем именно тебя! У нас своя репетиционная точка, мы располагаем большим количеством инструментов и выступаем на главных мероприятиях Политеха и Ждановца, а также за их пределами."
Для кого будет интересно узнать о «Ждановце»?,"Если ты студент политеха, то обязательно должен знать о «Ждановце», которому более 60 лет! Это поистине райское место."
Какой документ необходим для входа в учебные корпуса и общежития НГТУ им. Алексеева?,"Банковская карта - на нее приходит стипендия. Также она является электронным пропуском, именно с помощью нее ты сможешь попасть в корпуса и общежития. Не забывай её и всегда бери с собой!"
На каком сайте можно найти информацию об инфоповодах?,"Кроме того, все инфоповоды мы освещаем в наших социальных сетях и на нашем сайте. Заинтересовали наши идеи и цели?"
Какой номер телефона у Тютневой Валентины Сергеевны?,"Должность: Ведущий инженер авиационного и кораблестроительного направления (ауд. 1358), Образовательно-научный институт транспортных систем (ИТС), ФИО: Тютнева Валентина Сергеевна , Номер телефона: 436-73-09"
"Что следует направлять на приобретение знаний и опыта в учебе, науке и общественной жизни?","Статья 2. Ориентиры на каждый день

- · Всю силу юности направляй на приобретение знаний, опыта, компетентности в учебе, науке, общественной жизни."
В каком году ТЭМП взял курс на современный студенческий театр?,"Театр эстрадных миниатюр политехников

Четыре загадочные буквы в названии «ТЭМПа» за свою долгую историю существования претерпевали множество расшифровок. Основанный в 1964 году как Театр Эстрадных Миниатюр Политехников, в 2021 году ТЭМП берет курс на современный студенческий театр с полноформатными авторскими постановками."
В каком образовательном подразделении работает Гуреева Алена Алексеевна?,"Должность: Инженер дирекции (ауд. 3213а), Образовательно-научный институт экономики и управления (ИНЭУ), ФИО: Гуреева Алена Алексеевна , Номер телефона: 436-23-62"
Где проходит финал бала для студентов?,В день бала студенты и студентки в бальных платьях встречаются для финала мероприятия в многофункциональном зале «Взлет НГТУ». Это позволяет сохранить знания о истории Росии и служит инструментом духовно-нравственного воспитания.
Кто является заведующим общежитием №1?,"Общежитие №1

Адрес: проспект Гагарина, д. 1; Заведующий: Эльвира Вальтеровна Венц. (тел.433-01-17). Общежитие коридорного типа. Особенности: культурно-досуговый центр, комнаты для занятий, медицинский кабинет."
